OBJECTID,CALL_TYPE_FINAL,LOCATION,CURR_DGROUP,callCreatedDateTime,NEIGHBORHOOD,MAP_PAGE,x,y
851,Theft from Vehicle,3400 BLK OF LOUISA ST,4,2023-09-01T18:25:00,CENTRAL OAKLAND,405,-79.95804165,40.43793384
852,Theft from Vehicle,OAKLAND SQ & DAWSON ST,4,2023-09-01T17:52:00,CENTRAL OAKLAND,406,-79.9522964,40.43738186
853,Theft from Vehicle,700 BLK OF KNOX AVE,3,2023-09-01T16:50:00,KNOXVILLE,3001,-79.99067536,40.41416109
854,Robbery,SPRING ST & ROTHMAN ST,3,2023-09-01T16:30:00,ARLINGTON,5616,-79.97267204,40.41607436
855,Vehicle Theft,SPRING ST & ROTHMAN ST,3,2023-09-01T16:30:00,ARLINGTON,5616,-79.97267204,40.41607436
856,Theft from Vehicle,300 BLK OF OAKLAND AVE,4,2023-09-01T15:19:00,CENTRAL OAKLAND,405,-79.954126,40.44001306
857,Burglary,400 BLK OF NORTH POINT DR,1,2023-09-01T14:56:00,CHATEAU,9806,-80.02545461,40.44792844
858,Theft from Vehicle,3800 BLK OF BATES ST,4,2023-09-01T13:23:00,CENTRAL OAKLAND,406,-79.95247923,40.43937173
859,Vehicle Theft,1100 BLK OF BRABEC ST,1,2023-09-01T13:13:00,TROY HILL,2406,-79.99046042,40.45869114
860,Theft from Vehicle,<100 BLK OF OAKLAND SQ,4,2023-09-01T13:05:00,CENTRAL OAKLAND,406,-79.95137841,40.43671577
861,Theft from Vehicle,<100 BLK OF OAKLAND SQ,4,2023-09-01T13:05:00,CENTRAL OAKLAND,406,-79.95137841,40.43671577
862,Theft from Vehicle,<100 BLK OF OAKLAND SQ,4,2023-09-01T13:05:00,CENTRAL OAKLAND,406,-79.95137841,40.43671577
863,Theft,1100 BLK OF BEAVER AVE,1,2023-09-01T12:38:00,CHATEAU,9806,-80.02940467,40.45193678
864,Theft from Vehicle,4300 BLK OF MC CASLIN ST,4,2023-09-01T12:38:00,GREENFIELD,1517,-79.937057,40.420999
865,Theft from Vehicle,<100 BLK OF DAWSON CT,4,2023-09-01T12:13:00,SOUTH OAKLAND,409,-79.95416547,40.43148698
866,Theft,100 BLK OF STRATFORD AVE,5,2023-09-01T11:43:00,FRIENDSHIP,807,-79.93219213,40.46326558
867,Theft from Vehicle,100 BLK OF OAKLAND CT,4,2023-09-01T11:18:00,SOUTH OAKLAND,409,-79.95503754,40.43134321
868,Vehicle Theft,300 BLK OF BURROWS ST,2,2023-09-01T11:00:00,TERRACE VILLAGE,510,-79.97060672,40.44037247
869,Shooting (Non Fatal),2000 BLK OF 5TH AVE,4,2023-09-01T07:16:00,WEST OAKLAND,402,-79.97647746,40.43831049
870,Theft,400 BLK OF MT PLEASANT RD,1,2023-09-01T05:00:00,NORTHVIEW HEIGHTS,2609,-80.00100312,40.47933244
871,Theft from Vehicle,800 BLK OF W GENERAL ROBINSON ST,1,2023-09-01T04:15:00,NORTH SHORE,2205,-80.01192,40.447207
872,Theft,1700 BLK OF MURRAY AVE,4,2023-09-01T04:12:00,SQUIRREL HILL SOUTH,1413,-79.92315141,40.43791694
873,Theft,1700 BLK OF MURRAY AVE,4,2023-09-01T04:12:00,SQUIRREL HILL SOUTH,1413,-79.92315141,40.43791694
874,Aggravated Assault,BATES ST & SEMPLE ST,4,2023-09-01T03:10:00,CENTRAL OAKLAND,405,-79.95496895,40.43710024
875,Aggravated Assault,SMITHFIELD ST & STRAWBERRY WAY,2,2023-09-01T02:37:00,CENTRAL BUSINESS DISTRICT,201,-79.99728593,40.44214335
876,Homicide,SMITHFIELD ST & STRAWBERRY WAY,2,2023-09-01T02:37:00,CENTRAL BUSINESS DISTRICT,201,-79.99728593,40.44214335
877,Theft,1900 BLK OF SMALLMAN ST,2,2023-09-01T02:23:00,STRIP DISTRICT,203,-79.98464287,40.45149011
878,Vehicle Theft,<100 BLK OF STATION SQUARE DR,3,2023-09-01T01:05:00,SOUTH SHORE,9807,-80.001531,40.431306
879,Theft,600 BLK OF NOBLESTOWN RD,6,2023-08-31T21:42:00,EAST CARNEGIE,5628,-80.07191609,40.41578885
880,Theft,2600 BLK OF E CARSON ST,3,2023-08-31T21:19:00,SOUTH SIDE FLATS,1609,-79.96745139,40.42693658
881,Theft,5600 BLK OF CENTRE AVE,4,2023-08-31T21:00:00,SHADYSIDE,709,-79.93436528,40.45660544
882,Theft,CASINO DR & SPROAT WAY,1,2023-08-31T20:34:00,CHATEAU,9806,-80.0198528,40.44666963
883,Theft,4700 BLK OF CENTRE AVE,5,2023-08-31T19:45:00,BLOOMFIELD,804,-79.94909187,40.45343099
884,Theft,200 BLK OF NORTH SHORE DR,1,2023-08-31T19:03:00,NORTH SHORE,9812,-80.00821241,40.44623907
885,Theft,5900 BLK OF FORBES AVE,4,2023-08-31T18:49:00,SQUIRREL HILL SOUTH,1408,-79.91956581,40.43787046
886,Theft,1000 BLK OF FORT DUQUESNE BLVD,2,2023-08-31T18:45:00,CENTRAL BUSINESS DISTRICT,201,-79.99524489,40.44551089
887,Theft from Vehicle,700 BLK OF BROOKLINE BLVD,6,2023-08-31T18:22:00,BROOKLINE,1918,-80.02078581,40.39394198
888,Theft,5800 BLK OF FORBES AVE,4,2023-08-31T16:54:00,SQUIRREL HILL NORTH,1403,-79.92173942,40.43824293
889,Burglary,300 BLK OF MEREDITH ST,3,2023-08-31T16:18:00,CARRICK,2902,-79.982022,40.39839
890,Vehicle Theft,300 BLK OF MEREDITH ST,3,2023-08-31T16:18:00,CARRICK,2902,-79.982022,40.39839
891,Theft,2600 BLK OF BROWNSVILLE RD,3,2023-08-31T16:11:00,CARRICK,2904,-79.97880106,40.3854423
892,Theft,700 BLK OF JOHNSTON AVE,4,2023-08-31T16:10:00,GLEN HAZEL,5623,-79.93370957,40.40582957
893,Theft from Vehicle,1700 BLK OF HALLOWELL ST,6,2023-08-31T15:30:00,BROOKLINE,3206,-80.0018186,40.39690224
894,Theft from Vehicle,1700 BLK OF HALLOWELL ST,6,2023-08-31T15:30:00,BROOKLINE,3206,-80.00124358,40.3964925
895,Vehicle Theft,7800 BLK OF LOCKWAY ,5,2023-08-31T15:30:00,STANTON HEIGHTS,1018,-79.940663,40.484523
896,Theft,700 BLK OF GENERAL ROBINSON ST,1,2023-08-31T13:45:00,NORTH SHORE,5632,-79.998027,40.4495
897,Theft,3700 BLK OF FORBES AVE,4,2023-08-31T13:34:00,CENTRAL OAKLAND,405,-79.95736833,40.44102425
898,Burglary,1500 BLK OF LOWRIE ST,1,2023-08-31T13:00:00,TROY HILL,2406,-79.98382209,40.46207264
899,Theft from Vehicle,700 BLK OF S NEGLEY AVE,4,2023-08-31T11:00:00,SHADYSIDE,705,-79.93077824,40.45224937
900,Burglary,6500 BLK OF FRANKSTOWN AVE,5,2023-08-31T09:40:00,LARIMER,1208,-79.9139499,40.46066608
901,Burglary,600 BLK OF SMITHFIELD ST,2,2023-08-31T06:59:00,CENTRAL BUSINESS DISTRICT,201,-79.99740551,40.44152526
902,Aggravated Assault,100 BLK OF FEDERAL ST,1,2023-08-31T06:15:00,NORTH SHORE,9812,-80.0059817,40.44697828
903,Robbery,5500 BLK OF WALNUT ST,4,2023-08-31T03:15:00,SHADYSIDE,703,-79.93242373,40.45182621
904,Theft,3200 BLK OF E CARSON ST,3,2023-08-31T02:42:00,SOUTH SIDE FLATS,1609,-79.96015962,40.42307052
905,Robbery,5800 BLK OF ELWOOD ST,4,2023-08-31T02:39:00,SHADYSIDE,705,-79.92769318,40.45374169
906,Vehicle Theft,5800 BLK OF ELWOOD ST,4,2023-08-31T02:39:00,SHADYSIDE,705,-79.92769318,40.45374169
907,Burglary,100 BLK OF N HIGHLAND AVE,5,2023-08-31T02:33:00,EAST LIBERTY,1115,-79.924581,40.461995
908,Vehicle Theft,CEDAR AVE & PRESSLEY ST,1,2023-08-31T01:00:00,EAST ALLEGHENY,5632,-80.00114571,40.45161704
909,Theft from Vehicle,800 BLK OF VILLAGE RD,6,2023-08-31T00:55:00,FAIRYWOOD,5630,-80.0764605,40.45030059
910,Theft,500 BLK OF SMITHFIELD ST,2,2023-08-30T23:50:00,CENTRAL BUSINESS DISTRICT,201,-79.998564,40.43981
911,Theft,200 BLK OF MELWOOD AVE,4,2023-08-30T23:24:00,NORTH OAKLAND,5620,-79.95008874,40.45132621
912,Theft,7700 BLK OF FOREST WAY,5,2023-08-30T22:53:00,HOMEWOOD NORTH,1301,-79.88753309,40.45583323
913,Robbery,300 BLK OF S HIGHLAND AVE,4,2023-08-30T22:42:00,SHADYSIDE,705,-79.92534416,40.45732783
914,Theft,5600 BLK OF CENTRE AVE,4,2023-08-30T22:20:00,SHADYSIDE,709,-79.93436528,40.45660544
915,Theft from Vehicle,500 BLK OF NORTH SHERIDAN AVE,5,2023-08-30T21:30:00,EAST LIBERTY,1113,-79.919981,40.466507
916,Theft from Vehicle,5800 BLK OF PIERCE ST,4,2023-08-30T21:15:00,SHADYSIDE,705,-79.93068225,40.45720713
917,Theft,100 BLK OF SHERIDAN AVE,5,2023-08-30T20:33:00,EAST LIBERTY,1115,-79.923403,40.461738
918,Theft,2600 BLK OF W CARSON ST,6,2023-08-30T19:55:00,ESPLEN,5625,-80.04428145,40.45707879
919,Theft,400 BLK OF S 27TH ST,3,2023-08-30T19:44:00,SOUTH SIDE FLATS,1609,-79.96576573,40.42852635
920,Theft,300 BLK OF CEDAR AVE,1,2023-08-30T19:43:00,SPRING GARDEN,2412,-79.993357,40.458598
921,Theft from Vehicle,S 18TH ST & GREGORY ST,3,2023-08-30T19:40:00,SOUTH SIDE SLOPES,1608,-79.97770383,40.42346133
922,Theft,1300 BLK OF WEST LIBERTY AVE,6,2023-08-30T18:30:00,BROOKLINE,1917,-80.01271162,40.41084918
923,Theft,2000 BLK OF PERRYSVILLE AVE,1,2023-08-30T17:53:00,PERRY SOUTH,2614,-80.01334897,40.4629849
924,Theft,5600 BLK OF CENTRE AVE,4,2023-08-30T17:25:00,SHADYSIDE,709,-79.93436528,40.45660544
925,Theft,5600 BLK OF CENTRE AVE,4,2023-08-30T16:31:00,SHADYSIDE,709,-79.93436528,40.45660544
926,Theft,2400 BLK OF BEDFORD AVE,2,2023-08-30T16:15:00,BEDFORD DWELLINGS,509,-79.974288,40.45036502
927,Theft,4100 BLK OF BIGELOW BLVD,4,2023-08-30T16:15:00,NORTH OAKLAND,5620,-79.95459945,40.45012386
928,Theft,500 BLK OF ROSS ST,2,2023-08-30T16:00:00,CENTRAL BUSINESS DISTRICT,201,-79.99488221,40.43971815
929,Theft,3300 BLK OF PENN AVE,2,2023-08-30T14:54:00,LOWER LAWRENCEVILLE,603,-79.96841467,40.46165968
930,Theft,2600 BLK OF E CARSON ST,3,2023-08-30T14:42:00,SOUTH SIDE FLATS,1609,-79.96745139,40.42693658
931,Theft from Vehicle,300 BLK OF KAMBACH ST,3,2023-08-30T13:45:00,MOUNT WASHINGTON,1807,-80.00037144,40.42639589
932,Theft,1100 BLK OF LINCOLN AVE,5,2023-08-30T13:31:00,LINCOLN-LEMINGTON-BELMAR,1203,-79.90087319,40.46444194
933,Theft from Vehicle,1300 BLK OF OAKGLEN ST,6,2023-08-30T13:30:00,CRAFTON HEIGHTS,2814,-80.06036129,40.44903996
934,Burglary,1100 BLK OF BROOKLINE BLVD,6,2023-08-30T13:00:00,BROOKLINE,1919,-80.01541871,40.39212964
935,Theft from Vehicle,700 BLK OF BELLAIRE AVE,6,2023-08-30T12:08:00,BROOKLINE,1919,-80.01998962,40.39471166
936,Theft from Vehicle,SOUTH COMMONS & FEDERAL ST,1,2023-08-30T12:05:00,ALLEGHENY CENTER,2204,-80.00299,40.450859
937,Theft from Vehicle,800 BLK OF FORT DUQUESNE BLVD,2,2023-08-30T12:00:00,CENTRAL BUSINESS DISTRICT,201,-79.99939495,40.44465722
938,Vehicle Theft,300 BLK OF STRATFORD AVE,5,2023-08-30T11:47:00,FRIENDSHIP,807,-79.93341336,40.46036791
939,Vehicle Theft,<100 BLK OF CALHOUN AVE,3,2023-08-30T10:22:00,CARRICK,2902,-79.99133163,40.40666802
940,Burglary,600 BLK OF WOOD ST,2,2023-08-30T07:11:00,CENTRAL BUSINESS DISTRICT,201,-79.99889438,40.44238514
941,Theft,600 BLK OF WOOD ST,2,2023-08-30T07:11:00,CENTRAL BUSINESS DISTRICT,201,-79.99889438,40.44238514
942,Theft from Vehicle,WOOD ST & OLIVER AVE,2,2023-08-30T07:01:00,CENTRAL BUSINESS DISTRICT,201,-79.99991598,40.44144826
943,Theft,9TH ST & FRENCH ST,2,2023-08-30T06:37:00,UPPER LAWRENCEVILLE,1011,-79.938439,40.488136
944,Theft from Vehicle,400 BLK OF SMITHFIELD ST,2,2023-08-30T02:10:00,CENTRAL BUSINESS DISTRICT,201,-79.99929867,40.43885094
945,Theft,1700 BLK OF MURRAY AVE,4,2023-08-30T02:10:00,SQUIRREL HILL SOUTH,1413,-79.92315141,40.43791694
946,Theft,800 BLK OF E WARRINGTON AVE,3,2023-08-30T01:55:00,ALLENTOWN,1803,-79.99319358,40.42156707
947,Theft,CABOT WAY & S 8TH ST,3,2023-08-30T01:08:00,SOUTH SIDE FLATS,1702,-79.99103877,40.42902608
948,Theft,AVERY ST & CEDAR AVE,1,2023-08-29T22:48:00,EAST ALLEGHENY,5627,-80.00149157,40.45269081
949,Theft,5600 BLK OF CENTRE AVE,4,2023-08-29T18:51:00,SHADYSIDE,709,-79.93436528,40.45660544
950,Aggravated Assault,1500 BLK OF 5TH AVE,2,2023-08-29T18:49:00,CRAWFORD-ROBERTS,305,-79.98434952,40.43868026
951,Theft,100 BLK OF WASHINGTON PL,2,2023-08-29T18:10:00,CENTRAL BUSINESS DISTRICT,201,-79.99224288,40.43944435
952,Theft from Vehicle,1400 BLK OF SUPERIOR AVE,1,2023-08-29T18:09:00,MARSHALL-SHADELAND,2715,-80.0320404,40.46727446
953,Aggravated Assault,400 BLK OF N NEGLEY AVE,5,2023-08-29T18:07:00,EAST LIBERTY,1115,-79.92792758,40.46723436
954,Theft from Vehicle,100 BLK OF FEDERAL ST,1,2023-08-29T17:34:00,NORTH SHORE,9812,-80.0059817,40.44697828
955,Theft from Vehicle,200 BLK OF HASTINGS ST,4,2023-08-29T17:30:00,POINT BREEZE,1404,-79.91305921,40.4519217
956,Robbery,300 BLK OF LIBERTY AVE,2,2023-08-29T17:15:00,CENTRAL BUSINESS DISTRICT,201,-80.00625672,40.44056224
957,Theft from Vehicle,5800 BLK OF PENN AVE,5,2023-08-29T16:50:00,EAST LIBERTY,1115,-79.92745007,40.46201037
958,Theft from Vehicle,FORT DUQUESNE BLVD & 9TH ST ,2,2023-08-29T16:35:00,CENTRAL BUSINESS DISTRICT,201,-79.999015,40.445186
959,Theft,2900 BLK OF SMALLMAN ST,2,2023-08-29T16:15:00,STRIP DISTRICT,203,-79.9740378,40.45940726
960,Theft from Vehicle,400 BLK OF DENNISTON ST,4,2023-08-29T16:12:00,SHADYSIDE,708,-79.91968536,40.45405346
961,Burglary,700 BLK OF PENN AVE,2,2023-08-29T16:00:00,CENTRAL BUSINESS DISTRICT,201,-79.99973163,40.44366325
962,Theft,2000 BLK OF SMALLMAN ST,2,2023-08-29T16:00:00,STRIP DISTRICT,203,-79.984724,40.45203
963,Theft from Vehicle,2800 BLK OF KENILWORTH ST,6,2023-08-29T15:43:00,BROOKLINE,1919,-80.02708961,40.39559748
964,Theft,200 BLK OF N BEATTY ST,5,2023-08-29T15:17:00,EAST LIBERTY,1115,-79.927447,40.462543
965,Theft from Vehicle,2800 BLK OF KENILWORTH ST,6,2023-08-29T14:49:00,BROOKLINE,1919,-80.02708961,40.39559748
966,Theft,8200 BLK OF FRANKSTOWN AVE,5,2023-08-29T14:45:00,EAST HILLS,1306,-79.88144759,40.45492783
967,Burglary,2000 BLK OF DELLROSE ST,3,2023-08-29T14:30:00,CARRICK,2901,-79.98715667,40.39431582
968,Theft,600 BLK OF 1ST AVE,2,2023-08-29T14:14:00,CENTRAL BUSINESS DISTRICT,201,-79.99603763,40.43503159
969,Theft from Vehicle,900 BLK OF KENNEBAC ST,4,2023-08-29T14:09:00,GREENFIELD,1517,-79.932099,40.425217
970,Theft,5600 BLK OF CENTRE AVE,4,2023-08-29T13:27:00,SHADYSIDE,709,-79.93436528,40.45660544
971,Theft,300 BLK OF STATION SQUARE DR,3,2023-08-29T12:26:00,SOUTH SHORE,9807,-80.002207,40.431528
972,Theft from Vehicle,900 BLK OF LIBERTY AVE,2,2023-08-29T10:10:00,CENTRAL BUSINESS DISTRICT,201,-79.99653667,40.44356999
973,Theft from Vehicle,300 BLK OF LUCILLA ST,4,2023-08-29T06:22:00,SWISSHELM PARK,1411,-79.89917199,40.42480256
974,Robbery,5700 BLK OF WALNUT ST,4,2023-08-29T05:39:00,SHADYSIDE,708,-79.924799,40.45839
975,Burglary,3100 BLK OF CORDELL PL,3,2023-08-29T03:25:00,ARLINGTON HEIGHTS,5616,-79.96319968,40.41805258
976,Theft,400 BLK OF N HIGHLAND AVE,5,2023-08-29T03:00:00,EAST LIBERTY,1115,-79.92217164,40.46515781
977,Theft,400 BLK OF 6TH AVE,2,2023-08-29T02:54:00,CENTRAL BUSINESS DISTRICT,201,-79.997434,40.440943
978,Robbery,OAKDENE ST & OBERLIN ST,5,2023-08-29T02:06:00,LINCOLN-LEMINGTON-BELMAR,5619,-79.89007992,40.46645639
979,Robbery,800 BLK OF CASINO DR,1,2023-08-29T01:35:00,CHATEAU,9806,-80.02185619,40.44713829
980,Theft from Vehicle,1200 BLK OF BOYLE ST,1,2023-08-28T22:50:00,CENTRAL NORTHSIDE,2206,-80.00565345,40.45612947
981,Theft,5600 BLK OF CENTRE AVE,4,2023-08-28T22:21:00,SHADYSIDE,709,-79.93436528,40.45660544
982,Theft from Vehicle,S 18TH ST & PIUS ST,3,2023-08-28T22:10:00,SOUTH SIDE SLOPES,1706,-79.97769254,40.42382675
983,Theft from Vehicle,600 BLK OF SMITHFIELD ST,2,2023-08-28T20:48:00,CENTRAL BUSINESS DISTRICT,201,-79.99682517,40.44231527
984,Theft from Vehicle,1800 BLK OF BEECHWOOD BLVD,4,2023-08-28T20:45:00,SQUIRREL HILL SOUTH,1408,-79.91327105,40.43781726
985,Theft,900 BLK OF ROSSELLE CT,4,2023-08-28T20:15:00,GLEN HAZEL,5623,-79.932729,40.406863
986,Theft,2200 BLK OF MARY ST,3,2023-08-28T20:15:00,SOUTH SIDE FLATS,1609,-79.97444842,40.42587601
987,Theft,1000 BLK OF CHARTIERS AVE,6,2023-08-28T20:00:00,ELLIOTT,5626,-80.04086378,40.44447143
988,Theft from Vehicle,4400 BLK OF MURRAY AVE,4,2023-08-28T20:00:00,GREENFIELD,1517,-79.92849452,40.41983641
989,Theft,400 BLK OF STADIUM ST,6,2023-08-28T19:20:00,SHERADEN,5625,-80.05551231,40.46045495
990,Theft,3300 BLK OF FORBES AVE,4,2023-08-28T19:10:00,SOUTH OAKLAND,409,-79.96270123,40.43778835
991,Theft from Vehicle,N EUCLID AVE & STANTON AVE,5,2023-08-28T19:00:00,EAST LIBERTY,1102,-79.92306816,40.47039288
992,Vehicle Theft,600 BLK OF FILBERT ST,4,2023-08-28T18:57:00,SHADYSIDE,703,-79.93418551,40.45321884
993,Theft from Vehicle,100 BLK OF S 20TH ST,3,2023-08-28T18:40:00,SOUTH SIDE FLATS,1702,-79.9777259,40.4292087
994,Theft,7600 BLK OF PENN AVE,4,2023-08-28T18:22:00,POINT BREEZE NORTH,1405,-79.89371129,40.44705334
995,Theft,2600 BLK OF STAYTON ST,1,2023-08-28T18:10:00,MARSHALL-SHADELAND,2715,-80.02662219,40.46779345
996,Theft,6200 BLK OF PENN AVE,5,2023-08-28T17:55:00,EAST LIBERTY,1115,-79.92191009,40.46085426
997,Theft,6700 BLK OF ROWAN ST,5,2023-08-28T17:40:00,LINCOLN-LEMINGTON-BELMAR,1203,-79.90263568,40.46403309
998,Theft,1300 BLK OF FALLOWFIELD AVE,6,2023-08-28T17:35:00,BEECHVIEW,1916,-80.02377232,40.41557353
999,Theft,400 BLK OF N HIGHLAND AVE,5,2023-08-28T17:17:00,EAST LIBERTY,1115,-79.92217164,40.46515781
1000,Theft,100 BLK OF HARGROVE ST,6,2023-08-28T16:44:00,BEECHVIEW,1916,-80.01047797,40.41300589
1001,Vehicle Theft,500 BLK OF SUISMON ST,1,2023-08-28T16:30:00,EAST ALLEGHENY,2304,-80.001006,40.455177
1002,Theft,3700 BLK OF FORBES AVE,4,2023-08-28T16:28:00,CENTRAL OAKLAND,405,-79.95736833,40.44102425
1003,Theft from Vehicle,PLEASANT ST & 44TH ST,2,2023-08-28T16:24:00,CENTRAL LAWRENCEVILLE,902,-79.959493,40.471169
1004,Theft from Vehicle,4000 BLK OF WINDSOR ST,4,2023-08-28T16:15:00,GREENFIELD,1517,-79.92853274,40.42607259
1005,Theft from Vehicle,1000 BLK OF MIRROR ST,4,2023-08-28T16:08:00,GREENFIELD,1517,-79.93067023,40.42643975
1006,Theft from Vehicle,HASTINGS ST & CONOVER RD,4,2023-08-28T14:46:00,POINT BREEZE,1404,-79.91319196,40.45344973
1007,Theft,1300 BLK OF PAGE ST,1,2023-08-28T14:40:00,MANCHESTER,2107,-80.02526135,40.45114989
1008,Theft from Vehicle,S 18TH ST & SIDNEY ST,3,2023-08-28T14:15:00,SOUTH SIDE FLATS,1702,-79.98046842,40.42967889
1009,Theft,5200 BLK OF BAUM BLVD,5,2023-08-28T13:10:00,BLOOMFIELD,804,-79.94155772,40.45558486
1010,Theft from Vehicle,MURIEL ST & S 16TH ST,3,2023-08-28T12:48:00,SOUTH SIDE FLATS,1702,-79.98265514,40.43014739
1011,Theft from Vehicle,200 BLK OF S FAIRMOUNT ST,5,2023-08-28T12:41:00,FRIENDSHIP,807,-79.93364806,40.46262027
1012,Theft from Vehicle,6700 BLK OF THOMAS ST,4,2023-08-28T11:03:00,POINT BREEZE NORTH,1405,-79.910265,40.454763
1013,Theft from Vehicle,5400 BLK OF COMET WAY,4,2023-08-28T11:00:00,SHADYSIDE,703,-79.934496,40.450443
1014,Theft,4400 BLK OF BROWNS HILL RD,4,2023-08-28T06:50:00,GREENFIELD,1517,-79.92744281,40.41907831
1015,Aggravated Assault,600 BLK OF PENN AVE,2,2023-08-28T02:35:00,CENTRAL BUSINESS DISTRICT,201,-80.0020781,40.44288585
1016,Theft,<100 BLK OF BAILEY AVE,3,2023-08-28T02:30:00,MOUNT WASHINGTON,1807,-80.00492054,40.42669299
1017,Robbery,HALKET ST & BLVD OF THE ALLIES,4,2023-08-28T00:26:00,SOUTH OAKLAND,409,-79.95811914,40.43590399
1018,Theft,CROSMAN ST & S 18TH ST,3,2023-08-27T22:57:00,ALLENTOWN,1803,-79.99247,40.421653
1019,Theft,<100 BLK OF BIGELOW SQ,2,2023-08-27T21:52:00,CENTRAL BUSINESS DISTRICT,201,-79.9948288,40.44040905
1020,Theft,5600 BLK OF CENTRE AVE,4,2023-08-27T20:33:00,SHADYSIDE,709,-79.93436528,40.45660544
1021,Theft,500 BLK OF 56TH ST,2,2023-08-27T20:30:00,UPPER LAWRENCEVILLE,1011,-79.94861617,40.48322108
1022,Theft,600 BLK OF EMLIN ST,1,2023-08-27T20:00:00,EAST ALLEGHENY,2304,-79.998781,40.454337
1023,Theft,100 BLK OF 5TH AVE,2,2023-08-27T18:45:00,CENTRAL BUSINESS DISTRICT,201,-80.00287325,40.44140616
1024,Burglary,7000 BLK OF CHURCHLAND ST,5,2023-08-27T18:45:00,LINCOLN-LEMINGTON-BELMAR,5619,-79.8970206,40.47168984
1025,Theft,500 BLK OF S ATLANTIC AVE,5,2023-08-27T18:15:00,BLOOMFIELD,806,-79.93920547,40.45822233
1026,Theft,500 BLK OF AVERY ST,1,2023-08-27T17:59:00,EAST ALLEGHENY,5632,-79.99982034,40.45313372
1027,Theft from Vehicle,500 BLK OF AVERY ST,1,2023-08-27T17:59:00,EAST ALLEGHENY,5632,-79.99982034,40.45313372
1028,Theft,5600 BLK OF CENTRE AVE,4,2023-08-27T17:55:00,SHADYSIDE,709,-79.93436528,40.45660544
1029,Aggravated Assault,2300 BLK OF BRIGHTON RD,1,2023-08-27T17:40:00,MARSHALL-SHADELAND,2704,-80.0244977,40.46442542
1030,Theft from Vehicle,3300 BLK OF FRANCISCO ST,6,2023-08-27T17:01:00,SHERADEN,2022,-80.06156507,40.45722156
1031,Theft,STRAWBERRY WAY & LIBERTY AVE,2,2023-08-27T17:00:00,CENTRAL BUSINESS DISTRICT,201,-79.99879651,40.442716
1032,Theft,900 BLK OF SAW MILL RUN BLVD,3,2023-08-27T16:52:00,DUQUESNE HEIGHTS,1911,-80.02285343,40.42694407
1033,Theft from Vehicle,400 BLK OF S HIGHLAND AVE,4,2023-08-27T16:21:00,SHADYSIDE,705,-79.92593878,40.45457953
1034,Theft,5600 BLK OF CENTRE AVE,4,2023-08-27T16:15:00,SHADYSIDE,709,-79.93436528,40.45660544
1035,Theft,500 BLK OF AVERY ST,1,2023-08-27T16:15:00,EAST ALLEGHENY,5632,-79.99957383,40.45293093
1036,Theft from Vehicle,500 BLK OF AVERY ST,1,2023-08-27T16:15:00,EAST ALLEGHENY,5632,-79.99957383,40.45293093
1037,Theft from Vehicle,HOOKER & THOMPSON ST,5,2023-08-27T16:05:00,LARIMER,1204,-79.909707,40.466229
1038,Burglary,300 BLK OF S HIGHLAND AVE,4,2023-08-27T15:01:00,SHADYSIDE,705,-79.92533783,40.45744682
1039,Theft from Vehicle,4100 BLK OF GRIZELLA ST,1,2023-08-27T14:45:00,PERRY NORTH,2602,-80.01717318,40.49303751
1040,Theft from Vehicle,200 BLK OF GENERAL ROBINSON ST,1,2023-08-27T12:30:00,CALIFORNIA-KIRKBRIDE,2507,-80.016059,40.456952
1041,Theft,<100 BLK OF E AMANDA AVE,3,2023-08-27T12:01:00,SOUTH SIDE SLOPES,1706,-79.98807389,40.42089834
1042,Theft from Vehicle,2100 BLK OF SIDNEY ST,3,2023-08-27T11:50:00,SOUTH SIDE FLATS,1609,-79.9755699,40.42913397
1043,Theft,1700 BLK OF CLIFF ST,2,2023-08-27T11:45:00,CRAWFORD-ROBERTS,305,-79.98659687,40.44553635
1044,Vehicle Theft,1700 BLK OF CLIFF ST,2,2023-08-27T11:45:00,CRAWFORD-ROBERTS,305,-79.98659687,40.44553635
1045,Theft,4600 BLK OF CENTRE AVE,4,2023-08-27T08:15:00,NORTH OAKLAND,5620,-79.95153349,40.45184346
1046,Theft,4700 BLK OF CENTRE AVE,4,2023-08-27T07:50:00,NORTH OAKLAND,507,-79.951533,40.451843
1047,Theft from Vehicle,3200 BLK OF BRIGHTON RD,1,2023-08-27T07:46:00,MARSHALL-SHADELAND,2715,-80.031563,40.476091
1048,Burglary,100 BLK OF N NEGLEY AVE,5,2023-08-27T07:17:00,GARFIELD,1114,-79.9305211,40.46434162
1049,Aggravated Assault,PLATEAU ST & W WOODFORD AVE,3,2023-08-27T06:38:00,CARRICK,2901,-79.98998523,40.39336843
1050,Theft,200 BLK OF GENERAL ROBINSON ST,1,2023-08-27T05:35:00,NORTH SHORE,2205,-80.00547,40.448373
1051,Aggravated Assault,400 BLK OF NORTH SHORE DR,1,2023-08-27T04:42:00,NORTH SHORE,9812,-80.01149561,40.44615113
1052,Aggravated Assault,200 BLK OF ARABELLA ST,3,2023-08-27T04:20:00,KNOXVILLE,3001,-79.992196,40.41249973
1053,Burglary,200 BLK OF ARABELLA ST,3,2023-08-27T04:20:00,KNOXVILLE,3001,-79.992196,40.41249973
1054,Shooting (Non Fatal),600 BLK OF SEAGIRT ST,5,2023-08-27T03:06:00,EAST HILLS,1306,-79.87960852,40.45256821
