OBJECTID,CALL_TYPE_FINAL,LOCATION,CURR_DGROUP,callCreatedDateTime,NEIGHBORHOOD,MAP_PAGE,x,y
61,Theft from Vehicle,200 BLK OF OPHELIA ST,4,2023-09-29T12:10:00,SOUTH OAKLAND,409,-79.96488827,40.43554598
62,Theft,6100 BLK OF CARVER ST,5,2023-09-29T11:27:00,LARIMER,1208,-79.91597604,40.46559338
63,Burglary,200 BLK OF GLENWOOD AVE,4,2023-09-29T08:21:00,HAZELWOOD,5623,-79.93885094,40.40135491
64,Theft,100 BLK OF 11TH ST,2,2023-09-29T05:39:00,CENTRAL BUSINESS DISTRICT,201,-79.99325514,40.44469886
65,Burglary,7300 BLK OF RACE ST,5,2023-09-29T05:00:00,HOMEWOOD NORTH,1302,-79.89226327,40.45824708
66,Theft,200 BLK OF CLEARVIEW AVE,6,2023-09-29T03:42:00,WESTWOOD,5631,-80.05822383,40.43692258
67,Robbery,3600 BLK OF 5TH AVE,4,2023-09-29T02:50:00,CENTRAL OAKLAND,405,-79.9583507,40.44146871
68,Theft,1000 BLK OF SHEFFIELD ST,1,2023-09-29T02:35:00,MANCHESTER,2107,-80.02065847,40.45413377
69,Theft,2600 BLK OF WADSWORTH ST,4,2023-09-29T02:18:00,WEST OAKLAND,402,-79.96655473,40.44308602
70,Theft,1300 BLK OF E CARSON ST,3,2023-09-29T01:00:00,SOUTH SIDE FLATS,1702,-79.98433905,40.42897845
71,Theft,3100 BLK OF PERRYSVILLE AVE,1,2023-09-29T00:32:00,PERRY NORTH,2607,-80.01263557,40.47752074
72,Theft,5100 BLK OF SCHENLEY AVE,5,2023-09-28T23:30:00,MORNINGSIDE,1014,-79.925817,40.485398
73,Burglary,2000 BLK OF ARLINGTON AVE,3,2023-09-28T22:20:00,ARLINGTON,5616,-79.97826885,40.41778815
74,Theft,400 BLK OF WOOD ST,2,2023-09-28T22:03:00,CENTRAL BUSINESS DISTRICT,201,-80.00087873,40.44042877
75,Theft,5500 BLK OF AYLESBORO AVE,4,2023-09-28T21:49:00,SQUIRREL HILL NORTH,1401,-79.93023539,40.43930286
76,Aggravated Assault,1400 BLK OF SHADY AVE,4,2023-09-28T21:05:00,SQUIRREL HILL NORTH,1403,-79.91951018,40.44309818
77,Vehicle Theft,BAUM BLVD & S HIGHLAND AVE,5,2023-09-28T20:45:00,EAST LIBERTY,1115,-79.92499237,40.46046557
