imgSrc,latLong,units,address,addressZipcode,propertyStatusCd,price,latitude,longitude
https://photos.zillowstatic.com/fp/43b421e5b3f64159f72d4ba859bd8331-p_e.jpg,"{'latitude': 40.456165, 'longitude': -79.9267}",,332 Lehigh Avenue (Full Service),15232,Apartment,"$1,795/mo",40.456165,-79.9267
https://photos.zillowstatic.com/fp/aee34c6485cafc4ce59eae8c6fce4f30-p_e.jpg,"{'latitude': 40.455765, 'longitude': -79.92876}",,640 College Street - 5,15232,Apartment,$795+/mo,40.455765,-79.92876
https://photos.zillowstatic.com/fp/c3cdcee6fd47e5c7f17bc9fdd6675695-p_e.jpg,"{'latitude': 40.45516, 'longitude': -79.93616}",,5444 Claybourne St,15232,Apartment,"$2,625/mo",40.45516,-79.93616
https://photos.zillowstatic.com/fp/42f5145deada33ac23a0b32347847dbc-p_e.jpg,"{'latitude': 40.45833, 'longitude': -79.92512}",,hi214,15206,Apartment,$995/mo,40.45833,-79.92512
https://photos.zillowstatic.com/fp/0cb46a3c1b0037f08a07b6461bd765b7-p_e.jpg,"{'latitude': 40.4588, 'longitude': -79.92359}",,220 Emerson St #2,15206,Townhome,"$2,200/mo",40.4588,-79.92359
https://photos.zillowstatic.com/fp/efc7540ebe6131ca5f923ebd6f60e429-p_e.jpg,"{'latitude': 40.45667, 'longitude': -79.92811}",,5912 Alder St #2,15232,Townhome,"$2,100/mo",40.45667,-79.92811
https://photos.zillowstatic.com/fp/a396614bb192e458530421a41e3c5764-p_e.jpg,"{'latitude': 40.457672, 'longitude': -79.92417}",,242 Yardley Way,15206,Townhome,"$2,750/mo",40.457672,-79.92417
https://photos.zillowstatic.com/fp/bf308d5704ded9a0d2783d3b01cd723a-p_e.jpg,"{'latitude': 40.455154, 'longitude': -79.92956}",,5815-17 Holden St,15232,Apartment,"$2,020/mo",40.455154,-79.92956
https://photos.zillowstatic.com/fp/a0690c54782800705918a80db74d05cb-p_e.jpg,"{'latitude': 40.451897, 'longitude': -79.936}",,5400 Elmer St APT 3,15232,Apartment,"$1,700/mo",40.451897,-79.936
https://photos.zillowstatic.com/fp/200adf64a22dd352c16ecd18801cddaa-p_e.jpg,"{'latitude': 40.45308, 'longitude': -79.92428}",,509 S Highland Ave APT 36,15206,Apartment,"$1,500/mo",40.45308,-79.92428
https://photos.zillowstatic.com/fp/1ff17a429e61a85c748c86d37cf452a3-p_e.jpg,"{'latitude': 40.45574, 'longitude': -79.93072}",,626 Maryland Ave #7-C,15232,Apartment,"$1,695/mo",40.45574,-79.93072
https://photos.zillowstatic.com/fp/3bc1bf20aa75001b8c7dcb83a8693cf9-p_e.jpg,"{'latitude': 40.453957, 'longitude': -79.92068}",,6313 Kentucky Ave,15206,Single Family,"$3,460/mo",40.453957,-79.92068
https://photos.zillowstatic.com/fp/aa8cc0cc04a47c1d7606c514d5de514b-p_e.jpg,"{'latitude': 40.453815, 'longitude': -79.92998}",,5744 Elmer Street,15232,Apartment,"$2,100/mo",40.453815,-79.92998
https://photos.zillowstatic.com/fp/9d20c6ecde76cedf201270cc1898ebfd-p_e.jpg,"{'latitude': 40.45026, 'longitude': -79.93162}",,918 Ivy St #2,15232,Apartment,"$1,325/mo",40.45026,-79.93162
https://photos.zillowstatic.com/fp/ed40e05e33d40d837145595fafdd1596-p_e.jpg,"{'latitude': 40.454315, 'longitude': -79.92649}",,5924 Elwood St,15232,Single Family,"$3,500/mo",40.454315,-79.92649
https://photos.zillowstatic.com/fp/764db88d422984ee7fd52302b9b20492-p_e.jpg,"{'latitude': 40.455803, 'longitude': -79.930786}",,5752 Ellsworth Ave #11-A,15232,Apartment,"$1,695/mo",40.455803,-79.930786
https://photos.zillowstatic.com/fp/fb219d3683aed092086e07abc17bd148-p_e.jpg,"{'latitude': 40.4548, 'longitude': -79.922264}",,430 Shady Avenue,15206,Apartment,"$2,750/mo",40.4548,-79.922264
https://photos.zillowstatic.com/fp/a82f150b86fa005d4e1a0b79fb66354d-p_e.jpg,"{'latitude': 40.450462, 'longitude': -79.93206}",,5526 Howe Street,15232,Apartment,"$1,950+/mo",40.450462,-79.93206
