imgSrc,latLong,address,buildingName,addressZipcode,propertyStatusCd,price,latitude,longitude,unique_features,apartment_features,rating_value,rating_category,grocery_rank,restaurant_rank,street,safety,Total Score
https://photos.zillowstatic.com/fp/0e832b260d81ba68199c97fbe1430a98-p_e.jpg,"{'latitude': 40.45389, 'longitude': -80.016304}",840 W North Ave,Allegheny City Stables Lofts,15233,Apartment,"$1,599+/1 bed(s);$1,999+/2 bed(s)",40.45389,-80.016304,"['Rich Wood-Style Flooring', 'Self-Serve Car Care Center', 'Ceiling Fans *', 'Granite Countertops', 'Upgraded Lighting Package', 'Screened in Porch *', 'Private Fenced Yard *', 'Modern Kitchen With White Cabinetry', 'Newly Remodeled Apartments', 'Walk-In Closets *', '1, 2, & 3 Bedroom Floor Plans', 'Outdoor Kitchen', 'Move-in Deposit Free with Jetty', 'Washer/Dryer Connections *', 'GE Black Appliances', 'Monthly Resident Events', 'Spacious Patio/Balcony', 'Bark Park']","['Playground', '24 Hour Access', 'Washer/Dryer Hookup', 'Laundry Facilities', 'Air Conditioning', 'Property Manager on Site', 'Package Service', 'Pool', 'Fitness Center', 'Car Wash Area', 'Dishwasher', 'High Speed Internet Access', 'Sundeck']",3.9,Good,3,3,North Ave,1,2.725
https://photos.zillowstatic.com/fp/6bd3186162ba5373cfe7e1ff949b2f99-p_e.jpg,"{'latitude': 40.42521, 'longitude': -79.96222}",2984 Sidney St,Connection at South Side,15203,Apartment,"$1,805+/1 bed(s);$2,630+/2 bed(s)",40.42521,-79.96222,"['Balconies', 'River View In Select Homes', 'Full-size washer/dryer', 'Bike Storage', 'Dog Run', 'Coffee Bar', 'Designer Lighting', 'Downtown View In Some Homes', 'Co-Working Space', 'Kitchen Island', 'Stainless Steel Appliances', 'Two Courtyards', 'Downtown View', 'Garage Parking Available for Rent', 'Sparkling Pool with Sundeck', 'USB Outlets', 'In-Home Washer & Dryer', 'Full-Size Washer & Dryer', 'Pet Washing Station', 'Steps from Biking/Walking Trails and Shopping', 'Tile Backsplash', 'Fire Pit', 'Quartz Countertops', 'Open Concept Kitchen', 'Freight Elevator', 'Steps Away from Public Transportation', '24/7 Fitness Center', 'Grilling Stations']","['Controlled Access', 'Grill', 'Business Center', 'Microwave', 'Washer/Dryer', 'Air Conditioning', 'Refrigerator', 'Pool', 'Island Kitchen', 'Fitness Center', 'Elevator', 'Walk-In Closets', 'Dishwasher', 'High Speed Internet Access', 'Roof Terrace', 'Recycling']",4.9,Great,1,1,Sidney St,1,1.975
https://photos.zillowstatic.com/fp/a51e78f01419722f0d83fd94918b7c80-p_e.jpg,"{'latitude': 40.45673, 'longitude': -79.940704}",5250 Liberty Ave,Albion at Morrow Park,15224,Apartment,"$1,735+/0 bed(s);$2,090+/1 bed(s);$2,710+/2 bed(s);$3,670+/3 bed(s)",40.45673,-79.940704,[''],[''],0,NA,2,2,Liberty Ave,1,1.25
